Goal,Milestone,Description,Target,Achieved,Percent_Achieved,Target_Date,Date_Completed
1,1,"From Year 2 onwards, forest quality and extent  (at 1.1 million hectares) maintained  within the PA network, thereby  securing the storage of 240 million  tons of carbon dioxide equivalent  and increasing climate resilience  through forest ecosystem conservation
",240 MT CO2 Secured ,161 MT CO2 Secured,67.78%,07/2027,NA
1,2,"By Year 4, degraded  lands within the PA network are  brought under climate-smart reforestation mechanisms to enhance the carbon stock (above and below ground) and increase climate resiliency
",100000 Hectares of Degraded Land Preserved ,58400,58.46%,09/2029,NA
