Goal,Description,Percent_Completion,Target_Date,Date_Completed
1,Forest and vegetative cover within the protected area network help Bhutan remain carbon neutral,63.12%,07/2030,NA
2,Socio-economic wellbeing of communities in and in the vicinity of the PA network enhanced by climate-informed natural resources management,78.00%,05/2031,NA
3,Maintain stable and thriving populations of key species contributing toward national and global biodiversity goals. Maintain habitat and ecosystem diversity and contiguity. Protected area network provides sustained ecosystem services for socioeconomic and ecological wellbeing.,88.00%,03/2029,NA
4,"Organizational, institutional and resource capacity strengthened for effective management of the protected area network. Support the Government of Bhutan to develop new sources of financing for Bhutan’s protected area network.",12.00%,08/2028,NA
